RATING*,INTEREST_ID*,USER_ID*
1,13,22
1,15,22
1,19,22
2,21,22
2,22,22
1,26,22
3,28,22
1,30,22
2,54,22
2,38,22
1,43,22
1,44,22
2,45,22
1,47,22
1,13,3
1,14,3
1,18,3
1,27,3
1,30,3
2,51,3
1,54,3
2,36,3
1,37,3
2,38,3
2,3,3
1,5,3
1,7,3
1,40,3
1,44,3
1,46,3
2,11,43
2,13,43
1,16,43
1,19,43
1,21,43
1,22,43
1,51,43
2,52,43
1,36,43
1,4,43
2,5,43
1,6,43
2,47,43
1,12,15
1,15,15
1,16,15
1,18,15
1,24,15
1,27,15
1,29,15
1,51,15
1,54,15
1,38,15
1,4,15
2,5,15
2,6,15
1,44,15
1,46,15
1,47,15
1,13,37
1,14,37
1,19,37
1,20,37
3,22,37
1,23,37
2,28,37
1,53,37
2,55,37
4,37,37
2,3,37
1,5,37
2,6,37
1,42,37
3,44,37
1,45,37
1,47,37
1,8,21
1,11,21
1,13,21
1,19,21
2,28,21
1,29,21
1,48,21
1,51,21
1,52,21
1,53,21
1,54,21
1,36,21
1,37,21
1,38,21
1,0,21
1,3,21
2,4,21
2,5,21
1,6,21
1,7,21
1,43,21
1,11,25
2,13,25
1,15,25
1,16,25
2,19,25
4,20,25
2,21,25
1,28,25
1,30,25
1,52,25
1,54,25
1,35,25
1,38,25
2,3,25
1,44,25
1,13,45
1,14,45
1,15,45
2,21,45
1,22,45
1,30,45
2,52,45
4,53,45
1,54,45
1,55,45
2,37,45
1,39,45
1,4,45
1,5,45
2,6,45
1,45,45
1,46,45
1,47,45
1,12,29
1,13,29
1,14,29
1,15,29
1,20,29
1,22,29
1,28,29
1,29,29
2,30,29
1,51,29
2,52,29
2,54,29
1,36,29
1,37,29
1,1,29
2,4,29
1,43,29
1,14,11
1,15,11
1,19,11
2,21,11
2,29,11
1,31,11
1,54,11
1,37,11
1,39,11
1,3,11
1,4,11
2,45,11
1,13,19
1,20,19
1,22,19
1,28,19
1,30,19
2,53,19
1,35,19
2,36,19
2,37,19
1,4,19
1,5,19
1,6,19
3,44,19
1,45,19
2,46,19
1,11,36
3,12,36
2,15,36
1,20,36
1,21,36
1,27,36
1,29,36
1,50,36
1,52,36
1,54,36
2,35,36
1,37,36
1,38,36
2,4,36
1,5,36
1,6,36
1,44,36
1,47,36
1,8,27
1,10,27
1,21,27
1,22,27
1,26,27
1,30,27
1,31,27
1,51,27
1,36,27
2,37,27
1,38,27
1,0,27
1,43,27
1,11,5
1,12,5
2,21,5
1,22,5
1,23,5
1,27,5
1,29,5
1,52,5
1,34,5
1,35,5
1,37,5
1,38,5
1,3,5
3,4,5
1,5,5
1,43,5
2,45,5
1,46,5
1,14,26
1,24,26
1,27,26
2,29,26
1,37,26
1,38,26
1,3,26
1,4,26
1,6,26
1,43,26
1,44,26
1,45,26
1,47,26
1,12,0
1,13,0
1,15,0
1,20,0
1,21,0
2,22,0
1,24,0
1,26,0
1,27,0
2,30,0
1,31,0
3,52,0
2,54,0
1,36,0
1,37,0
1,39,0
1,5,0
2,6,0
1,42,0
1,47,0
2,12,44
2,13,44
1,20,44
1,23,44
3,28,44
1,29,44
1,52,44
1,53,44
1,54,44
1,36,44
1,37,44
1,38,44
1,5,44
2,7,44
1,13,20
2,14,20
1,15,20
1,21,20
1,27,20
1,29,20
2,52,20
1,55,20
1,34,20
1,37,20
2,38,20
1,0,20
1,2,20
1,3,20
3,4,20
2,6,20
2,44,20
1,45,20
1,11,24
2,14,24
2,19,24
1,22,24
1,23,24
1,26,24
1,28,24
1,29,24
1,30,24
1,31,24
4,52,24
2,54,24
1,55,24
2,36,24
2,37,24
2,38,24
1,0,24
3,3,24
1,6,24
1,47,24
1,12,38
1,13,38
1,14,38
1,15,38
1,18,38
1,21,38
1,27,38
1,28,38
1,54,38
2,55,38
1,35,38
1,37,38
2,4,38
1,5,38
2,43,38
2,44,38
1,46,38
1,12,10
2,13,10
1,14,10
1,15,10
1,19,10
1,28,10
3,51,10
1,53,10
1,54,10
1,35,10
2,36,10
1,39,10
4,6,10
1,45,10
1,46,10
1,8,1
1,13,1
1,14,1
1,21,1
1,28,1
1,29,1
1,31,1
1,50,1
1,51,1
2,54,1
1,55,1
2,37,1
1,38,1
2,3,1
2,4,1
1,5,1
1,6,1
1,7,1
2,11,17
1,13,17
1,14,17
2,20,17
3,21,17
1,23,17
1,27,17
2,29,17
1,30,17
2,52,17
2,54,17
2,35,17
2,36,17
1,37,17
1,38,17
1,39,17
1,1,17
2,3,17
1,4,17
1,5,17
2,43,17
1,45,17
1,46,17
1,47,17
2,19,13
1,21,13
1,22,13
2,30,13
3,51,13
1,52,13
2,53,13
1,55,13
1,32,13
1,37,13
2,38,13
3,4,13
1,5,13
1,43,13
2,44,13
1,10,41
2,18,41
1,20,41
1,21,41
1,22,41
1,26,41
1,48,41
1,52,41
2,53,41
1,39,41
1,2,41
1,4,41
1,7,41
1,44,41
1,45,41
2,47,41
1,11,47
1,12,47
1,14,47
1,15,47
1,26,47
1,27,47
2,51,47
2,52,47
1,53,47
1,55,47
1,37,47
1,38,47
1,4,47
1,40,47
1,42,47
1,43,47
1,45,47
2,12,14
1,13,14
1,15,14
1,16,14
1,19,14
1,22,14
1,23,14
1,27,14
1,28,14
1,29,14
1,30,14
2,31,14
2,52,14
1,54,14
1,55,14
1,33,14
1,35,14
1,36,14
1,37,14
1,4,14
2,6,14
1,43,14
1,11,18
1,14,18
2,27,18
1,29,18
1,30,18
1,51,18
1,34,18
1,36,18
1,37,18
1,3,18
1,4,18
1,44,18
2,45,18
1,8,2
1,10,2
1,11,2
1,13,2
1,15,2
1,19,2
1,22,2
1,28,2
1,29,2
1,51,2
1,54,2
1,35,2
1,36,2
4,37,2
1,3,2
1,4,2
1,5,2
1,6,2
3,43,2
2,44,2
2,45,2
1,11,48
2,12,48
1,13,48
1,14,48
1,16,48
1,20,48
2,27,48
2,29,48
1,51,48
1,52,48
1,53,48
1,54,48
1,55,48
1,36,48
1,38,48
1,43,48
1,44,48
2,45,48
1,10,4
1,13,4
1,14,4
1,15,4
1,19,4
2,22,4
3,29,4
1,30,4
1,48,4
1,51,4
2,53,4
1,54,4
1,34,4
1,37,4
1,38,4
1,4,4
2,6,4
1,44,4
2,11,9
2,13,9
1,26,9
1,27,9
1,29,9
1,52,9
1,32,9
1,35,9
1,36,9
1,37,9
1,39,9
1,3,9
1,4,9
1,5,9
1,6,9
1,46,9
1,11,23
1,12,23
1,13,23
2,14,23
1,19,23
3,20,23
2,21,23
1,22,23
1,28,23
1,30,23
1,51,23
1,52,23
3,53,23
1,54,23
1,33,23
1,36,23
1,38,23
1,0,23
1,3,23
1,5,23
1,6,23
1,42,23
1,43,23
1,45,23
2,46,23
2,47,23
3,13,49
2,21,49
4,22,49
1,48,49
2,53,49
1,54,49
1,55,49
2,4,49
1,5,49
1,6,49
1,40,49
1,44,49
1,45,49
1,8,7
1,12,7
1,13,7
1,24,7
2,28,7
3,30,7
1,50,7
2,52,7
1,53,7
2,54,7
1,34,7
1,36,7
2,37,7
2,38,7
1,39,7
1,3,7
1,5,7
1,44,7
2,47,7
2,13,31
1,14,31
1,15,31
1,19,31
1,20,31
1,21,31
1,26,31
1,29,31
2,53,31
1,54,31
1,55,31
1,35,31
2,37,31
3,38,31
1,4,31
1,7,31
1,45,31
2,46,31
1,11,8
1,19,8
1,20,8
1,22,8
2,27,8
1,29,8
1,30,8
1,51,8
2,52,8
1,54,8
1,32,8
1,35,8
2,4,8
2,5,8
1,7,8
2,45,8
1,47,8
1,8,16
1,13,16
3,14,16
1,15,16
1,20,16
1,22,16
1,23,16
1,24,16
1,28,16
1,29,16
2,51,16
1,52,16
2,53,16
1,54,16
1,55,16
1,33,16
1,36,16
2,38,16
1,3,16
1,4,16
1,7,16
1,43,16
2,45,16
1,12,33
3,13,33
1,14,33
1,15,33
2,19,33
1,20,33
2,27,33
1,28,33
1,30,33
1,52,33
1,53,33
2,37,33
1,38,33
1,39,33
1,43,33
1,44,33
1,46,33
1,14,34
2,20,34
1,21,34
2,22,34
1,24,34
1,27,34
1,29,34
2,31,34
1,53,34
2,36,34
1,38,34
1,0,34
1,2,34
2,5,34
1,41,34
1,43,34
1,44,34
1,45,34
1,12,28
1,14,28
2,15,28
2,18,28
1,21,28
2,22,28
1,24,28
3,28,28
1,31,28
2,51,28
2,54,28
2,36,28
4,38,28
1,4,28
1,6,28
4,46,28
1,47,28
1,8,40
1,20,40
2,21,40
1,23,40
1,30,40
1,53,40
1,54,40
1,35,40
1,37,40
1,38,40
3,3,40
1,4,40
2,5,40
1,43,40
1,44,40
1,45,40
1,11,35
2,14,35
1,15,35
1,19,35
2,21,35
1,22,35
2,29,35
2,30,35
1,51,35
2,53,35
2,37,35
1,2,35
1,3,35
1,4,35
1,6,35
1,40,35
1,43,35
2,45,35
2,46,35
1,47,35
2,13,6
1,14,6
2,15,6
1,20,6
1,22,6
1,23,6
1,29,6
1,31,6
1,52,6
1,54,6
1,2,6
1,3,6
1,4,6
1,6,6
1,44,6
1,46,6
1,47,6
2,20,32
1,22,32
1,28,32
1,30,32
1,48,32
2,51,32
1,53,32
1,35,32
2,37,32
1,4,32
1,5,32
2,44,32
1,45,32
1,46,32
1,21,30
1,23,30
1,28,30
3,29,30
2,31,30
1,53,30
2,54,30
1,55,30
1,35,30
3,37,30
1,38,30
1,3,30
1,43,30
2,44,30
1,46,30
1,11,42
1,12,42
1,13,42
1,18,42
2,20,42
2,21,42
2,22,42
1,23,42
2,28,42
1,29,42
2,30,42
2,52,42
1,53,42
1,54,42
1,35,42
1,36,42
1,38,42
1,39,42
3,4,42
2,5,42
1,44,42
1,45,42
1,46,42
1,47,42
1,12,46
1,13,46
2,14,46
1,15,46
2,19,46
3,20,46
1,21,46
1,23,46
2,28,46
1,29,46
1,51,46
1,52,46
1,36,46
1,38,46
1,4,46
1,5,46
1,40,46
1,45,46
1,46,46
1,11,39
1,12,39
1,13,39
3,14,39
1,15,39
2,19,39
2,20,39
2,22,39
1,23,39
2,29,39
1,30,39
1,51,39
3,52,39
1,54,39
1,55,39
2,36,39
1,38,39
1,3,39
2,4,39
4,5,39
1,7,39
1,44,39
1,45,39
2,46,39
1,11,12
1,12,12
1,13,12
1,15,12
1,18,12
2,29,12
1,31,12
1,37,12
1,0,12
1,2,12
1,4,12
1,5,12
1,7,12
3,43,12
1,45,12
1,46,12
